,New_cases,New_deaths,covid_unified,vaccine_solo,respiratory_disease_solo,covid_testing_solo,quarantine_solo,pneumonia_solo,asthma_solo,lungCancer_solo,cysticFibrosis_solo
2019-12-30,2,3,0,3,21,0.5,1,49,29,46,60
2020-01-06,45,1,0.5,3,21,0.5,1,42,31,49,63
2020-01-13,89,2,0.5,3,24,0,2,53,29,49,65
2020-01-20,1884,56,0.5,4,30,0,4,57,32,52,67
2020-01-27,12517,309,0.5,4,30,0,5,51,32,100,62
2020-02-03,22935,544,1,4,25,0.5,4,45,31,52,64
2020-02-10,31428,864,1,4,28,0.5,3,51,33,51,67
2020-02-17,8669,682,4,6,40,0.5,6,47,35,55,71
2020-02-24,4647,461,7,6,45,0.5,9,58,42,53,68
2020-03-02,10311,486,25,10,70,2,34,79,59,49,65
2020-03-09,45628,2030,71,15,70,6,100,100,100,40,67
2020-03-16,124061,7666,81,13,60,6,84,90,83,38,70
2020-03-23,209039,16622,80,12,51,5,62,70,56,39,65
2020-03-30,211000,21933,72,11,39,5,48,53,48,36,60
2020-04-06,208456,22051,66,10,40,5,45,39,42,38,64
2020-04-13,202618,22059,61,11,39,6,43,35,41,36,78
2020-04-20,222400,19164,59,11,36,7,37,32,38,39,66
2020-04-27,232884,19433,55,12,38,7,31,29,38,38,63
2020-05-04,272528,19757,55,10,35,8,30,27,36,36,57
2020-05-11,320740,21050,48,12,31,7,26,25,34,41,57
2020-05-18,421358,21822,46,8,28,7,24,23,30,39,49
2020-05-25,478498,22619,42,7,28,7,20,23,32,36,50
2020-06-01,587345,25423,41,8,26,9,19,23,30,40,48
2020-06-08,647511,26856,44,9,27,12,18,22,32,40,50
2020-06-15,745566,29871,49,9,27,21,22,24,32,37,52
2020-06-22,800315,27657,52,10,26,25,26,24,31,35,52
2020-06-29,889646,28656,53,10,25,25,22,33,32,39,45
2020-07-06,938780,29795,52,17,27,23,22,29,36,38,48
2020-07-13,1010417,32620,51,14,23,19,22,29,33,37,48
2020-07-20,1178170,33667,52,13,24,18,26,25,31,37,50
2020-07-27,1277311,33271,48,11,22,17,23,25,28,36,48
2020-08-03,1313209,34698,45,18,21,15,26,24,28,75,44
2020-08-10,1371502,34236,44,11,22,15,26,25,29,40,45
2020-08-17,1357297,33307,42,10,26,13,22,23,28,39,46
2020-08-24,1431320,32479,41,10,26,14,21,25,28,40,50
2020-08-31,1532667,31483,44,11,29,14,20,25,30,41,53
2020-09-07,1536649,33860,42,10,31,16,16,25,31,40,52
2020-09-14,1627127,30602,43,10,33,14,16,26,30,38,54
2020-09-21,1579419,29349,45,10,32,15,18,27,30,37,53
2020-09-28,1562382,28904,49,9,42,17,16,29,33,40,54
2020-10-05,1683542,29015,49,9,51,16,14,26,31,41,49
2020-10-12,1822214,27725,50,9,49,17,14,29,30,47,49
2020-10-19,2187382,30427,59,9,39,19,14,27,28,40,47
2020-10-26,2488927,35199,52,8,32,21,11,24,28,35,44
2020-11-02,2570535,42468,57,19,32,30,12,28,31,42,52
2020-11-09,2503266,46266,63,17,34,37,14,29,29,42,56
2020-11-16,2386111,51345,54,15,28,31,13,28,27,36,50
2020-11-23,2259478,52178,53,21,34,29,15,29,29,37,55
2020-11-30,2220013,52902,58,32,32,29,14,31,28,39,52
2020-12-07,2192911,53182,59,39,28,32,13,31,27,36,46
2020-12-14,2237677,54787,60,31,17,33,12,27,24,33,36
2020-12-21,2028677,50953,67,36,17,33,12,30,26,34,37
2020-12-28,2060285,53610,66,46,24,32,12,32,30,34,42
2021-01-04,2529965,57385,67,63,26,27,11,30,30,34,44
2021-01-11,2588070,61882,62,65,29,22,11,30,30,38,47
2021-01-18,2398764,64486,56,65,27,18,12,29,29,40,49
