,new_cases,tests_done,covid_unified,vaccine_solo,respiratory_disease_solo,covid_testing_solo,quarantine_solo,pneumonia_solo,asthma_solo,lungCancer_solo,cysticFibrosis_solo
2020-01-06,11.0,23372.0,0.5,3,21,0.5,1,42,31,49,63
2020-01-13,12.0,4.0,0.5,3,24,0,2,53,29,49,65
2020-01-20,10.0,0.0,0.5,4,30,0,4,57,32,52,67
2020-01-27,20.0,0.0,0.5,4,30,0,5,51,32,100,62
2020-02-03,32.0,61.0,1,4,25,0.5,4,45,31,52,64
2020-02-10,46.0,166.0,1,4,28,0.5,3,51,33,51,67
2020-02-17,23.0,123.0,4,6,40,0.5,6,47,35,55,71
2020-02-24,205.0,98.0,7,6,45,0.5,9,58,42,53,68
2020-03-02,2366.0,26164.0,25,10,70,2,34,79,59,49,65
2020-03-09,11892.0,117612.0,71,15,70,6,100,100,100,40,67
2020-03-16,50110.0,291356.0,81,13,60,6,84,90,83,38,70
2020-03-23,115804.0,697856.0,80,12,51,5,62,70,56,39,65
2020-03-30,174626.0,861371.0,72,11,39,5,48,53,48,36,60
2020-04-06,156763.0,996884.0,66,10,40,5,45,39,42,38,64
2020-04-13,132656.0,1114886.0,61,11,39,6,43,35,41,36,78
2020-04-20,98298.0,1098112.0,59,11,36,7,37,32,38,39,66
2020-04-27,75734.0,1210519.0,55,12,38,7,31,29,38,38,63
2020-05-04,49315.0,1162317.0,55,10,35,8,30,27,36,36,57
2020-05-11,40075.0,1252921.0,48,12,31,7,26,25,34,41,57
2020-05-18,35186.0,1378138.0,46,8,28,7,24,23,30,39,49
2020-05-25,31876.0,1379020.0,42,7,28,7,20,23,32,36,50
2020-06-01,27792.0,1169843.0,41,8,26,9,19,23,30,40,48
2020-06-08,26511.0,939631.0,44,9,27,12,18,22,32,40,50
2020-06-15,27526.0,992090.0,49,9,27,21,22,24,32,37,52
2020-06-22,29051.0,1075134.0,52,10,26,25,26,24,31,35,52
2020-06-29,29265.0,1179899.0,53,10,25,25,22,33,32,39,45
2020-07-06,27313.0,1333505.0,52,17,27,23,22,29,36,38,48
2020-07-13,29008.0,1382602.0,51,14,23,19,22,29,33,37,48
2020-07-20,38264.0,1498181.0,52,13,24,18,26,25,31,37,50
2020-07-27,50842.0,1658547.0,48,11,22,17,23,25,28,36,48
2020-08-03,63681.0,1810594.0,45,18,21,15,26,24,28,75,44
2020-08-10,81103.0,1953100.0,44,11,22,15,26,25,29,40,45
2020-08-17,101724.0,2163526.0,42,10,26,13,22,23,28,39,46
2020-08-24,128194.0,2610375.0,41,10,26,14,21,25,28,40,50
2020-08-31,152949.0,2950517.0,44,11,29,14,20,25,30,41,53
2020-09-07,176854.0,3017266.0,42,10,31,16,16,25,31,40,52
2020-09-14,215663.0,3398230.0,43,10,33,14,16,26,30,38,54
2020-09-21,260978.0,4129070.0,45,10,32,15,18,27,30,37,53
2020-09-28,271278.0,4047701.0,49,9,42,17,16,29,33,40,54
2020-10-05,307469.0,4276471.0,49,9,51,16,14,26,31,41,49
2020-10-12,477792.0,6030230.0,50,9,49,17,14,29,30,47,49
2020-10-19,718763.0,7141054.0,59,9,39,19,14,27,28,40,47
2020-10-26,1102049.0,8314499.0,52,8,32,21,11,24,28,35,44
2020-11-02,1382193.0,9837274.0,57,19,32,30,12,28,31,42,52
2020-11-09,1417414.0,9834743.0,63,17,34,37,14,29,29,42,56
2020-11-16,1235564.0,9183827.0,54,15,28,31,13,28,27,36,50
2020-11-23,1069916.0,8836247.0,53,21,34,29,15,29,29,37,55
2020-11-30,886300.0,8486649.0,58,32,32,29,14,31,28,39,52
2020-12-07,814976.0,8067864.0,59,39,28,32,13,31,27,36,46
2020-12-14,848020.0,8336826.0,60,31,17,33,12,27,24,33,36
2020-12-21,928587.0,9995596.0,67,36,17,33,12,30,26,34,37
2020-12-28,785941.0,9394238.0,66,46,24,32,12,32,30,34,42
2021-01-04,1984292.0,16836458.0,67,63,26,27,11,30,30,34,44
2021-01-11,969689.0,10431365.0,62,65,29,22,11,30,30,38,47
2021-01-18,940049.0,11136204.0,56,65,27,18,12,29,29,40,49
