,date,Country,Country_code,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,new_cases,tests_done,population,testing_rate,positivity_rate
0,2020-01-06,Austria,AT,EURO,0,0,0,0,0.0,0.0,8978929,0.0,0.0
1,2020-01-13,Austria,AT,EURO,0,0,0,0,0.0,0.0,8978929,0.0,0.0
2,2020-01-20,Austria,AT,EURO,0,0,0,0,0.0,0.0,8978929,0.0,0.0
3,2020-01-27,Austria,AT,EURO,0,0,0,0,0.0,0.0,8978929,0.0,0.0
4,2020-02-03,Austria,AT,EURO,0,0,0,0,0.0,0.0,8978929,0.0,0.0
5,2020-02-10,Austria,AT,EURO,0,0,0,0,0.0,0.0,8978929,0.0,0.0
6,2020-02-17,Austria,AT,EURO,0,0,0,0,0.0,0.0,8978929,0.0,0.0
7,2020-02-24,Austria,AT,EURO,7,7,0,0,0.0,0.0,8978929,0.0,0.0
8,2020-03-02,Austria,AT,EURO,68,75,0,0,12.0,0.0,8978929,0.0,0.0
9,2020-03-09,Austria,AT,EURO,513,588,1,1,115.0,0.0,8978929,0.0,0.0
10,2020-03-16,Austria,AT,EURO,544,1132,14,15,874.0,0.0,8978929,0.0,0.0
11,2020-03-23,Austria,AT,EURO,3814,4946,51,66,3046.0,0.0,8978929,0.0,0.0
12,2020-03-30,Austria,AT,EURO,3753,8699,103,169,5098.0,0.0,8978929,0.0,0.0
13,2020-04-06,Austria,AT,EURO,1942,10641,151,320,3114.0,0.0,8978929,0.0,0.0
14,2020-04-13,Austria,AT,EURO,889,11530,111,431,1838.0,0.0,8978929,0.0,0.0
15,2020-04-20,Austria,AT,EURO,450,11980,85,516,686.0,0.0,8978929,0.0,0.0
16,2020-04-27,Austria,AT,EURO,366,12346,60,576,450.0,0.0,8978929,0.0,0.0
17,2020-05-04,Austria,AT,EURO,259,12605,33,609,309.0,0.0,8978929,0.0,0.0
18,2020-05-11,Austria,AT,EURO,329,12934,20,629,260.0,0.0,8978929,0.0,0.0
19,2020-05-18,Austria,AT,EURO,249,13183,17,646,324.0,0.0,8978929,0.0,0.0
20,2020-05-25,Austria,AT,EURO,213,13396,12,658,264.0,0.0,8978929,0.0,0.0
21,2020-06-01,Austria,AT,EURO,208,13604,16,674,195.0,0.0,8978929,0.0,0.0
22,2020-06-08,Austria,AT,EURO,188,13792,12,686,228.0,0.0,8978929,0.0,0.0
23,2020-06-15,Austria,AT,EURO,227,14019,17,703,172.0,0.0,8978929,0.0,0.0
