,date,country,country_code,new_cases,tests_done,population,testing_rate,positivity_rate,totalVaccinations,weeklyVaccinations
0,2021-01-04,Austria,AT,14916.0,127657.0,8978929,1421.73971973718,11.6844356361187,31790.0,0.0
1,2021-01-04,Austria,AT,14636.0,137035.0,8978929,1526.18424758677,10.6804830882621,31790.0,0.0
2,2021-01-11,Austria,AT,10948.0,911735.0,8978929,10154.1620387019,1.20078750952854,117665.0,12268.0
3,2021-01-18,Austria,AT,10156.0,1144351.0,8978929,12744.8496362985,0.887489939712553,216189.0,14075.0
4,2021-01-25,Austria,AT,9513.0,655713.0,8978929,7302.79747172519,1.45078715840619,265704.0,7074.0
5,2021-02-01,Austria,AT,9115.0,960284.0,8978929,10694.861269089,0.949198362151197,364418.0,14102.0
6,2021-02-08,Austria,AT,9458.0,1477892.0,8978929,16459.5577044879,0.639965572585818,482438.0,16860.0
7,2021-02-15,Austria,AT,11627.0,1500910.0,8978929,16715.9134458018,0.774663370888328,586391.0,14850.0
8,2021-02-22,Austria,AT,14178.0,1582385.0,8978929,17623.3156537935,0.895989282001536,715245.0,18408.0
9,2021-03-01,Austria,AT,16313.0,1651867.0,8978929,18397.149593231,0.987549239739035,885732.0,24355.0
10,2021-03-08,Austria,AT,18218.0,1829934.0,8978929,20380.3148460134,0.995555030946471,1146023.0,37184.0
11,2021-03-15,Austria,AT,21074.0,1991339.0,8978929,22177.9123100316,1.05828289407278,1386146.0,34303.0
12,2021-03-22,Austria,AT,22296.0,2081325.0,8978929,23180.1031058381,1.07124067601168,1636696.0,35793.0
13,2021-03-29,Austria,AT,20779.0,0.0,8978929,0.0,0.0,1863002.0,32329.0
14,2021-04-05,Austria,AT,17589.0,2067620.0,8978929,23027.4679753008,0.850688230912837,2219599.0,50942.0
15,2021-04-12,Austria,AT,16809.0,0.0,8978929,0.0,0.0,2597215.0,53945.0
16,2021-04-19,Austria,AT,15046.0,0.0,8978929,0.0,0.0,2952324.0,50730.0
17,2021-04-26,Austria,AT,12529.0,0.0,8978929,0.0,0.0,3313413.0,51584.0
18,2021-05-03,Austria,AT,9016.0,0.0,8978929,0.0,0.0,3769595.0,65169.0
19,2021-05-10,Austria,AT,5736.0,0.0,8978929,0.0,0.0,4198562.0,61281.0
20,2021-05-17,Austria,AT,4152.0,0.0,8978929,0.0,0.0,4745351.0,78113.0
21,2021-05-24,Austria,AT,3155.0,0.0,8978929,0.0,0.0,5239573.0,70603.0
22,2021-05-31,Austria,AT,2423.0,4859495.0,8978929,54121.0984071708,0.0498611481234161,5824871.0,83614.0
23,2021-06-07,Austria,AT,1686.0,5649558.0,8978929,62920.1767827767,0.0298430425884644,6463485.0,91231.0
24,2021-06-14,Austria,AT,1002.0,0.0,8978929,0.0,0.0,7062963.0,85640.0
