#,Country,Population,Land Area,Density
1,Afghanistan,38928346,652.86,60.0
2,Albania,2877797,27.4,105.0
3,Algeria,43851044,"2,381,740",18.0
4,Andorra,77265,470,164.0
5,Angola,32866272,"1,246,700",26.0
6,Antigua and Barbuda,97929,440,223.0
7,Argentina,45195774,"2,736,690",17.0
8,Armenia,2963243,28.47,104.0
9,Australia,25499884,"7,682,300",3.0
10,Austria,9006398,82.409,109.0
11,Azerbaijan,10139177,82.658,123.0
12,Bahamas,393244,10.01,39.0
13,Bahrain,1701575,760,2.239
14,Bangladesh,164689383,130.17,1.265
15,Barbados,287375,430,668.0
16,Belarus,9449323,202.91,47.0
17,Belgium,11589623,30.28,383.0
18,Belize,397628,22.81,17.0
19,Benin,12123200,112.76,108.0
20,Bhutan,771608,38.117,20.0
21,Bolivia,11673021,"1,083,300",11.0
22,Bosnia and Herzegovina,3280819,51,64.0
23,Botswana,2351627,566.73,4.0
24,Brazil,212559417,"8,358,140",25.0
25,Brunei,437479,5.27,83.0
26,Bulgaria,6948445,108.56,64.0
27,Burkina Faso,20903273,273.6,76.0
28,Burundi,11890784,25.68,463.0
29,Côte d'Ivoire,26378274,318,83.0
30,Cabo Verde,555987,4.03,138.0
31,Cambodia,16718965,176.52,95.0
32,Cameroon,26545863,472.71,56.0
33,Canada,37742154,"9,093,510",4.0
34,Central African Republic,4829767,622.98,8.0
35,Chad,16425864,"1,259,200",13.0
36,Chile,19116201,743.532,26.0
37,China,1439323776,"9,388,211",153.0
38,Colombia,50882891,"1,109,500",46.0
39,Comoros,869601,1.861,467.0
40,Congo,5518087,341.5,16.0
41,Costa Rica,5094118,51.06,100.0
42,Croatia,4105267,55.96,73.0
43,Cuba,11326616,106.44,106.0
44,Cyprus,1207359,9.24,131.0
45,Czechia,10708981,77.24,139.0
46,Democratic Republic of the Congo,89561403,"2,267,050",40.0
47,Denmark,5792202,42.43,137.0
48,Djibouti,988,23.18,43.0
49,Dominica,71986,750,96.0
50,Dominican Republic,10847910,48.32,225.0
51,Ecuador,17643054,248.36,71.0
52,Egypt,102334404,995.45,103.0
53,El Salvador,6486205,20.72,313.0
54,Equatorial Guinea,1402985,28.05,50.0
55,Eritrea,3546421,101,35.0
56,Estonia,1326535,42.39,31.0
57,Eswatini,1160164,17.2,67.0
58,Ethiopia,114963588,"1,000,000",115.0
59,Fiji,896445,18.27,49.0
60,Finland,5540720,303.89,18.0
61,France,65273511,547.557,119.0
62,Gabon,2225734,257.67,9.0
63,Gambia,2416668,10.12,239.0
64,Georgia,3989167,69.49,57.0
65,Germany,83783942,348.56,240.0
66,Ghana,31072940,227.54,137.0
67,Greece,10423054,128.9,81.0
68,Grenada,112523,340,331.0
69,Guatemala,17915568,107.16,167.0
70,Guinea,13132795,245.72,53.0
71,Guinea-Bissau,1968001,28.12,70.0
72,Guyana,786552,196.85,4.0
73,Haiti,11402528,27.56,414.0
74,Holy See,801,0,2.003
75,Honduras,9904607,111.89,89.0
76,Hungary,9660351,90.53,107.0
77,Iceland,341243,100.25,3.0
78,India,1380004385,"2,973,190",464.0
79,Indonesia,273523615,"1,811,570",151.0
80,Iran,83992949,"1,628,550",52.0
81,Iraq,40222493,434.32,93.0
