,totalVaccinations,weeklyVaccinations,covid_unified,vaccine_solo,respiratory_disease_solo,covid_testing_solo,quarantine_solo,pneumonia_solo,asthma_solo,lungCancer_solo,cysticFibrosis_solo
2020-11-30,1.0,0.0,58,32,32,29,14,31,28,39,52
2020-12-07,15.0,5.0,59,39,28,32,13,31,27,36,46
2020-12-14,1520779.0,19581.0,60,31,17,33,12,27,24,33,36
2020-12-21,555336.0,328139.0,67,36,17,33,12,30,26,34,37
2020-12-28,6674180.0,1503724.0,66,46,24,32,12,32,30,34,42
2021-01-04,15579768.0,3073520.0,67,63,26,27,11,30,30,34,44
2021-01-11,22316115.0,4800795.0,62,65,29,22,11,30,30,38,47
2021-01-18,35963686.0,7888436.0,56,65,27,18,12,29,29,40,49
2021-01-25,55956186.0,11186641.0,55,61,27,17,10,28,30,53,51
2021-02-01,74887340.0,12046182.0,52,62,27,15,11,26,31,40,53
2021-02-08,98972640.0,13966492.0,49,58,28,13,10,25,32,47,48
2021-02-15,75663270.0,14837767.0,52,67,26,13,10,25,33,43,53
2021-02-22,147508865.0,16987417.0,57,87,33,13,9,24,32,41,58
2021-03-01,122489349.0,20639893.0,59,94,28,13,9,24,32,41,52
2021-03-08,222192943.0,30010662.0,61,96,28,12,8,24,31,42,54
2021-03-15,273473578.0,36753391.0,64,87,31,13,10,27,31,40,54
2021-03-22,349849871.0,61220505.0,68,94,30,14,10,26,30,38,49
2021-03-29,434835047.0,77148194.0,68,95,34,14,10,28,30,38,47
2021-04-05,527964655.0,85078846.0,62,82,30,13,10,31,33,41,49
2021-04-12,614005653.0,86410930.0,65,72,33,12,10,33,32,38,49
2021-04-19,705241518.0,73215326.0,72,92,33,12,9,35,33,39,52
2021-04-26,816198486.0,99551336.0,63,75,32,11,9,33,35,42,51
2021-05-03,934108615.0,102933752.0,64,79,33,10,9,30,31,38,48
2021-05-10,1082284565.0,127769960.0,60,76,31,9,8,29,31,43,46
2021-05-17,1256215680.0,156476182.0,55,70,26,9,7,27,28,38,47
2021-05-24,1462830037.0,183312968.0,58,71,27,8,8,24,28,36,46
2021-05-31,1696534557.0,215750556.0,51,67,24,7,8,25,28,38,46
2021-06-07,1893131637.0,208268862.0,49,58,26,8,8,24,28,38,46
2021-06-14,2138629409.0,216646747.0,60,81,25,8,9,24,28,37,45
2021-06-21,2408853755.0,261630871.0,54,59,22,9,8,23,26,36,41
2021-06-28,2649359699.0,251670805.0,56,54,22,9,9,25,26,36,44
2021-07-05,2849138290.0,196030895.0,62,56,23,12,8,26,27,37,39
2021-07-12,3044127769.0,180807416.0,68,59,23,15,9,27,27,36,36
2021-07-19,3256490625.0,189534571.0,63,65,24,18,9,28,28,37,40
2021-07-26,3506079351.0,225971344.0,71,87,21,24,10,29,28,40,55
2021-08-02,3761709801.0,246012089.0,68,71,23,27,10,32,28,36,54
2021-08-09,3990618183.0,205510565.0,66,71,23,29,10,32,27,36,56
2021-08-16,4214008578.0,202763413.0,64,72,21,30,10,35,28,33,47
2021-08-23,4459750493.0,214335213.0,61,69,25,28,10,33,28,33,43
2021-08-30,4674043748.0,219946229.0,56,59,27,26,8,31,29,36,46
2021-09-06,4884734733.0,181147672.0,51,62,34,24,8,34,30,36,45
2021-09-13,5042825981.0,171260339.0,46,53,43,22,8,32,29,37,48
2021-09-20,5230776549.0,158228543.0,44,47,44,18,7,30,29,37,55
2021-09-27,5330158714.0,141584036.0,42,42,42,18,7,32,29,41,46
2021-10-04,5508963509.0,123451276.0,42,48,34,16,7,30,29,38,46
2021-10-11,5646667530.0,114724908.0,39,48,36,15,6,30,30,38,47
2021-10-18,5820264147.0,117531512.0,37,37,28,14,6,29,31,38,49
2021-10-25,5969263874.0,129284290.0,39,40,33,15,6,30,30,39,55
2021-11-01,6124661870.0,144387759.0,41,40,32,15,6,32,30,41,49
2021-11-08,6304755691.0,161329128.0,43,39,30,16,6,32,30,42,53
2021-11-15,6488199544.0,156854268.0,46,36,27,15,6,29,28,34,50
2021-11-22,6665675563.0,160883549.0,53,43,32,20,9,35,31,39,54
2021-11-29,6891917082.0,187294472.0,46,36,28,21,8,33,29,37,47
2021-12-06,7080423992.0,182495125.0,69,59,30,30,9,34,27,35,43
2021-12-13,7132828709.0,189230268.0,81,41,18,66,13,34,26,33,32
2021-12-20,7296702785.0,184796181.0,95,36,16,100,22,42,26,32,35
2021-12-27,7481960261.0,175926346.0,100,46,28,78,20,47,30,34,47
2022-01-03,7509459079.0,157809533.0,88,41,29,53,16,43,31,35,47
2022-01-10,7824410870.0,171550281.0,91,100,29,29,12,39,30,33,46
2022-01-17,7963677874.0,154988959.0,57,26,33,19,9,38,31,30,52
2022-01-24,8111577691.0,128404867.0,47,22,29,13,7,34,30,37,53
2022-01-31,8383280982.0,107868049.0,41,21,34,10,7,32,31,38,56
2022-02-07,8548898761.0,119677646.0,33,19,41,9,5,32,32,44,56
2022-02-14,8842229007.0,127426364.0,29,16,40,8,5,28,33,41,58
2022-02-21,8961576763.0,112806079.0,27,15,45,7,5,27,32,41,54
2022-02-28,8958109275.0,98903971.0,24,13,45,7,4,27,31,40,54
2022-03-07,8937186380.0,86899837.0,27,12,42,7,4,28,33,41,63
2022-03-14,8679810191.0,78546831.0,26,13,40,7,4,29,33,41,51
2022-03-21,8980009308.0,76380540.0,23,12,43,6,4,28,33,44,62
2022-03-28,9071473721.0,77417231.0,22,12,45,6,3,29,33,43,100
2022-04-04,9044915503.0,58672423.0,21,11,35,6,3,28,31,41,53
2022-04-11,9337284961.0,46085625.0,21,12,40,6,4,30,32,45,59
2022-04-18,9346593680.0,44539999.0,19,11,37,6,4,31,33,45,60
2022-04-25,9636208759.0,50022770.0,18,10,35,6,4,28,33,44,64
2022-05-02,9229840519.0,35181171.0,19,10,33,6,4,29,33,41,56
2022-05-09,9649313217.0,34457826.0,18,10,33,7,4,30,31,40,52
2022-05-16,9409594609.0,33077308.0,17,10,30,6,5,31,31,45,48
2022-05-23,9287526897.0,30771134.0,17,9,29,6,4,32,29,36,48
2022-05-30,9715698156.0,28573950.0,18,10,30,7,4,31,29,38,47
2022-06-06,9416674236.0,31871983.0,17,10,32,5,4,30,31,37,55
2022-06-13,9764589357.0,33423073.0,19,11,27,5,5,32,30,39,51
2022-06-20,9722829772.0,32855803.0,21,10,23,6,5,30,28,34,49
